Type,Account Reference,Date,Reference,Extra Reference,Nominal A/C Ref,Department Code,Details,Net Amount,Tax Code,Tax Amount
SI,829,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,124.21,T1,24.84
SI,1017,13/02/2023,February'23 ADDS,,4410,,1 Box of Ticket Wallets,52.74,T1,10.55
SI,1028,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,1028,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,192.09,T1,38.42
SI,1031,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,46.81,T1,9.36
SC,1115,13/02/2023,February'23 ADDS,,4300,,Membership Renewal 2023 Discount,-888,T1,-177.6
SI,1423,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,78.34,T1,15.67
SI,1440,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,20.42,T1,4.08
SI,1604,13/02/2023,February'23 ADDS,,4300,,Annual 2023 Membership Fee - February 2023,111,T1,22.2
SI,1740,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,2124,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,2124,13/02/2023,February'23 ADDS,,4410,,1 Box of Ticket Wallets,52.74,T1,10.55
SI,2378,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,2417,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,2417,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,151.59,T1,30.32
SI,2438,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,127.34,T1,25.47
SI,2474,13/02/2023,February'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee -January'23,75,T1,15
SI,2702,13/02/2023,February'23 ADDS,,4334,,Feburary'23 - Net Effect,20,T1,4
SI,2702,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,281.32,T1,56.26
SI,2713,13/02/2023,February'23 ADDS,,4410,,Telecoms January'23,297.07,T1,59.41
SI,2713,13/02/2023,February'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee -January'23,60,T1,12
