Type,Account Reference,Date,Reference,Extra Reference,Nominal A/C Ref,Department Code,Details,  Net Amount   ,Tax Code,    Tax Amount     
SC,102,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 4 pax £3pp,12,T1,2.4
SC,284,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 174 pax £3pp,522,T1,104.4
SC,649,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,11.38,T1,2.28
SC,649,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,100,T1,20
SC,649,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,649,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 187 pax £3pp,561,T1,112.2
SC,650,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 67 pax £3pp,201,T1,40.2
SC,651,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,651,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,651,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 36 pax £3pp,108,T1,21.6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 87 pax £3pp,261,T1,52.2
SC,653,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,653,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 48 pax £3pp,144,T1,28.8
SC,654,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 90 pax £3pp,270,T1,54
SC,655,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 61 pax £3pp,183,T1,36.6
SC,656,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,656,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,656,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 119 pax £3pp,357,T1,71.4
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,657,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 105 pax £3pp,315,T1,63
SC,658,10/03/2023,March'23 ADDS,,1151,,Celebrity 25May22-07Jun22 Tactical,87.9,T1,17.58
SC,658,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,658,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,658,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 103 pax £3pp,309,T1,61.8
SC,658,10/03/2023,March'23 ADDS,,1151,,RCL Q3 July-September 2021 Incentive,653,T1,130.6
SC,659,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 19 pax £3pp,57,T1,11.4
SC,661,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,661,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 114 pax £3pp,342,T1,68.4
SC,674,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 38 pax £3pp,114,T1,22.8
SC,689,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 62 pax £3pp,186,T1,37.2
SC,693,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 24 pax £3pp,72,T1,14.4
SC,693,10/03/2023,March'23 ADDS,,1151,,RCL2022 Period1. 1Jan-28Feb22 Incentive,47.37,T1,9.47
SC,782,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,75,T1,15
SC,782,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 13 pax £3pp,39,T1,7.8
SC,797,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 20 pax £3pp,60,T1,12
SC,814,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 53 pax £3pp,159,T1,31.8
SI,829,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,124.21,T1,24.84
SC,829,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 261 pax £3pp,783,T1,156.6
SC,833,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 4 pax £3pp,12,T1,2.4
SC,1006,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,108.45,T1,21.69
SC,1006,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,1006,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 90 pax £3pp,270,T1,54
SC,1017,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
SC,1017,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 49 pax £3pp,147,T1,29.4
SI,1028,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SI,1028,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,174.43,T1,34.89
