account_ref,name,c_address_1,c_address_2,c_address_3,c_address_4,c_address_5,vat_reg_number,member_id
1001,Abbey Travel Worldchoice,Bramleys,West lane,"Burn, Selby",North Yorkshire,YO8 8LR,181347562,1
1002,Waye and Son,83 Weston Lane,Otley,West Yorkshire,,LS21 2DF,1696448,2
1006,John Henry Travel Worldchoice,Weeping Cross Shopping Centre,41 Bodmin Avenue,Stafford,Staffordshire,ST17 0EF,278912712,3
1008,Hyde Barker Travel Worldchoice,7 Albert Street,Mansfield,Nottinghamshire,,NG18 1EA,116448475,4
1017,Ashley Adams Worldchoice,13 Market Place,Driffield,East Yorkshire,,YO25 6AP,394969,5
1046,Saturn Travel,29 Park Parade,Hazelmere,High Wycombe,Buckinghamshire,HP15 7AA,197348418,6
1113,Square World Travel,Mill Gardens,Swimbridge,Barnstaple,Devon,EX32 0PR,52574756,7
1114,1st Choice Travel UK Ltd,665 Christchurch Road,Boscombe,Bournemouth,Dorset,BH7 6AA,5413717,8
1115,Broadstone Travel Agency,209 The Broadway,Broadstone,Dorset,,BH18 8DN,18694728,9
1119,Monks World Travel Ltd,64 High Street,Christchurch,Dorset,,BH23 1BN,579835473,10
1237,Kenwood Travel,Rivington House,82 Great Eastern Street,London,Greater London,EC2A 3JF,66213,11
1245,Richards Travel Bureau,229 Preston Road,Wembley,Middlesex,,HA9 8PF,4241246,12
1246,Travelwise,51 Fortis Green Road,London,Greater London,,N10 3HP,35543771,13
1250,Longwood Holidays Ltd,3 Bourne Court,Southend Road,Woodford Green,,IG8 8HD,46429169,14
1252,Fortune Travel,1 Hallswelle Parade,Temple Fortune,London,Greater London,NW11 0DL,44258568,15
1260,Classic Grand Touring Limited,St Martins House,Ockham Road South,East Horsley,Surrey,KT24 6RX,,16
1332,Classic Travel Of Loughton,261 High Road,Loughton,Essex,,IG10 1AH,41556256,17
1344,Aquarian Travel,1721 London Road,Leigh-On-Sea,Essex,,SS9 2SW,4361285,18
1346,Simply Travel Direct Ltd,15 Queens Road,Buckhurst Hill,Essex,,IG9 5BZ,5654273,19
1352,Dalton Travel,1 Bantock Way,Witham,Essex,,CM8 1BG,34165865,20
1354,W R Williams Travel,735 Southchurch Road,Southend On Sea,Essex,,SS1 2PP,25565569,21
1401,Deeping Travel,7a High Street,Market Deeping,Peterborough,Cambridgeshire,PE6 8ED,11978948,22
1431,Skills Worldwide Travel,104 Chilwell Road,Beeston,Nottingham,Nottinghamshire,NG9 1ES,116616,23
1455,Stephen Walker Travel Worldchoice,2 The Broadway,Woodhall Spa,Lincoln,Lincolnshire,LN10 6ST,364439143,24
1494,Lincolnshire Coop Travel - Market Rasen,4 Market Place,Market Rasen,Lincolnshire,,LN8 3HJ,,25
1499,Everywhere Travel Ltd,Quayside Tower,Broad Street,Birmingham,,B1 2HF,,26
